Date,ABBV,BIIB,CI,CVS,HCA,MCK,MRNA,REGN,TEVA,VRTX,^GSPC
2022-04-19,136.28860473632812,223.02000427246094,242.9146270751953,90.30801391601562,253.20863342285156,318.3353576660156,152.72000122070312,711.4139404296875,10.180000305175781,282.5199890136719,4462.2099609375
2022-04-20,136.59373474121094,220.42999267578125,250.21055603027344,92.72528839111328,265.9676818847656,325.0412902832031,150.1199951171875,714.7910766601562,9.680000305175781,285.29998779296875,4459.4501953125
2022-04-21,138.18020629882812,218.39999389648438,246.24618530273438,91.92991638183594,260.4388122558594,324.9530334472656,144.5,701.3717651367188,9.380000114440918,281.7099914550781,4393.66015625
2022-04-22,135.1031036376953,209.99000549316406,237.35894775390625,88.8708267211914,203.6031036376953,311.94317626953125,140.33999633789062,683.4627685546875,9.119999885559082,270.4200134277344,4271.77978515625
2022-04-25,136.2449951171875,214.5399932861328,236.7075653076172,88.94947814941406,203.46778869628906,311.0901794433594,150.41000366210938,685.6976928710938,9.130000114440918,271.67999267578125,4296.1201171875
2022-04-26,136.14041137695312,206.99000549316406,235.06971740722656,88.65233612060547,207.7594757080078,310.0606994628906,145.7899932861328,670.291748046875,8.789999961853027,267.69000244140625,4175.2001953125
2022-04-27,137.39564514160156,206.94000244140625,233.36671447753906,88.14539337158203,205.13999938964844,311.6195983886719,142.42999267578125,668.990478515625,8.920000076293945,267.25,4183.9599609375
2022-04-28,136.25372314453125,210.41000366210938,236.5959014892578,88.14539337158203,211.62583923339844,314.31573486328125,142.52000427246094,671.046630859375,8.949999809265137,268.6400146484375,4287.5
2022-04-29,128.0337371826172,207.44000244140625,229.6536102294922,84.01998138427734,207.38247680664062,303.5411071777344,134.41000366210938,654.6871948242188,8.710000038146973,273.2200012207031,4131.93017578125
2022-05-02,128.8966827392578,207.32000732421875,229.0301055908203,84.34337615966797,203.77711486816406,300.78619384765625,142.0800018310547,647.6447143554688,8.529999732971191,261.9599914550781,4155.3798828125
2022-05-03,130.40469360351562,205.6999969482422,230.12818908691406,83.88890075683594,209.0740203857422,301.7763977050781,146.5399932861328,656.0579223632812,8.600000381469727,269.1099853515625,4175.47998046875
2022-05-04,132.13934326171875,210.10000610351562,237.9266357421875,87.9006576538086,217.29005432128906,313.49224853515625,155.0500030517578,656.4253540039062,8.329999923706055,273.70001220703125,4300.169921875
2022-05-05,132.65367126464844,201.17999267578125,234.5857696533203,85.4184341430664,216.70045471191406,309.0508728027344,142.02000427246094,635.07958984375,7.909999847412109,266.3699951171875,4146.8701171875
2022-05-06,133.22027587890625,193.61000061035156,248.37730407714844,88.00554656982422,219.75491333007812,327.4432373046875,134.39999389648438,618.8690795898438,7.840000152587891,253.92999267578125,4123.33984375
2022-05-09,131.59024047851562,187.5399932861328,243.26824951171875,86.40607452392578,216.61343383789062,320.07061767578125,135.8000030517578,595.7452392578125,7.420000076293945,235.02000427246094,3991.239990234375
